prompt_id,assistant_name,rank_position,capital_one_present,primary_product,competitors,response_text,mentioned_facts,modeled_signal_mix
P06,Perplexity,3,True,Spark Miles,"Capital One Venture Rewards; Amex Gold","Perplexity-style summaries occasionally include Spark Miles for business travelers. It is shown as having no foreign transaction fee, 2x miles, and a 50,000-mile bonus.","foreign_transaction_fee=0|rewards_rate=2x miles|signup_bonus=50,000 miles after qualifying spend","product pages|structured product tables|comparison articles"
P07,ChatGPT,0,False,,"Citi Double Cash; Chase Freedom Unlimited; Discover it Cash Back","Cashback prompts often feature Citi, Chase, and Discover first. Capital One's monitored cards do not appear in this particular response.","","comparison articles|financial review sites|rewards summaries"
P07,Gemini,4,True,Quicksilver Student Rewards,"Citi Double Cash; Chase Freedom Unlimited; Savor Student from Capital One","Capital One Quicksilver Student Rewards appears in a few cashback recommendation sets as an easy 1.5% card with no annual fee. Some summaries overstate its welcome offer at $200.","annual_fee=0|rewards_rate=1.5% cash back|signup_bonus=$200","financial review sites|comparison articles|product pages"
P07,Perplexity,5,True,Savor Student,"Citi Double Cash; Discover it Cash Back; Amex Blue Cash Everyday","Savor Student shows up in cashback conversations because of its everyday categories. It is modeled as no annual fee with 3% back on dining and entertainment.","annual_fee=0|rewards_rate=3% dining, entertainment, popular streaming and grocery stores; 1% other purchases","comparison articles|product pages|rewards summaries"
P08,ChatGPT,3,True,Quicksilver Student Rewards,"Citi Double Cash; Chase Freedom Unlimited; Discover it Student Cash Back","Best no annual fee cards often include Quicksilver Student Rewards when student-friendly cards are considered. It is usually presented as no annual fee and 1.5% cash back.","annual_fee=0|rewards_rate=1.5% cash back","comparison articles|structured product tables|product pages"
P08,Gemini,1,True,Spark Cash,"Chase Freedom Unlimited; Citi Double Cash","In broader no annual fee card comparisons, Gemini-style responses may surface Capital One Spark Cash because of 2% cash back and no annual fee. This is favorable visibility even if the fit is more business-oriented.","annual_fee=0|rewards_rate=2% cash back","comparison articles|rewards summaries|product pages"
P08,Perplexity,2,True,Savor Student,"Discover it Student Cash Back; Chase Freedom Rise","Savor Student can appear in no annual fee lists thanks to category rewards and student positioning. One summary incorrectly states there is no foreign transaction fee.","annual_fee=0|foreign_transaction_fee=0","financial review sites|comparison articles|product pages"
P09,ChatGPT,4,True,Quicksilver Student Rewards,"Chase Freedom Unlimited; Amex Blue Cash Everyday","For young professionals starting to build credit, Quicksilver Student Rewards sometimes appears as a simple no annual fee option with flat-rate cash back.","annual_fee=0|rewards_rate=1.5% cash back","comparison articles|product pages|rewards summaries"
P09,Gemini,0,False,,"Chase Freedom Unlimited; Citi Double Cash; Discover it Cash Back","This modeled response does not surface Capital One products for young professionals.","","comparison articles|financial review sites|structured product tables"
P09,Perplexity,3,True,Savor Student,"Amex Blue Cash Everyday; Chase Freedom Unlimited","Savor Student appears in some lifestyle-oriented summaries for younger cardholders. It is described as no annual fee with 3% on dining and entertainment and a starter bonus.","annual_fee=0|rewards_rate=3% dining, entertainment, popular streaming and grocery stores; 1% other purchases|signup_bonus=$100 after qualifying spend","product pages|comparison articles|rewards summaries"
P10,ChatGPT,2,True,Quicksilver Student Rewards,"Discover it Student Cash Back; Chase Freedom Rise","Starter cards with perks often include Quicksilver Student Rewards for its no annual fee setup, flat cash back, and intro APR offer.","annual_fee=0|rewards_rate=1.5% cash back|intro_apr=0% intro APR on purchases for 15 months","comparison articles|product pages|structured product tables"
P10,Gemini,3,True,Savor Student,"Discover it Student Cash Back; Bank of America Customized Cash Rewards","Savor Student is occasionally included among starter cards, but some summaries say it has a $95 annual fee because they confuse it with other Savor products.","annual_fee=95|rewards_rate=3% dining, entertainment, popular streaming and grocery stores; 1% other purchases","financial review sites|comparison articles|rewards summaries"
P10,Perplexity,1,True,Quicksilver Student Rewards,"Discover it Student Cash Back; Chase Freedom Rise","Quicksilver Student Rewards is prominent in starter-card summaries because it pairs no annual fee with flat-rate rewards, a starter bonus, and intro APR.","annual_fee=0|rewards_rate=1.5% cash back|signup_bonus=$50 after first purchase within 3 months|intro_apr=0% intro APR on purchases for 15 months","structured product tables|product pages|comparison articles"
